cgpa,backlogs,college_tier,country,university_ranking_band,internship_count,aptitude_score,communication_score,specialization,industry,internship_quality_score,placement_status
6.851472819,0,Tier 1,USA,100-300,2,60.92216122,63.90556096,Data Science,Tech,6.212715117,Placed
6.114932021,1,Tier 2,Canada,100-300,1,84.84641875,43.6548462,Cloud,Healthcare,3.917203976,Not Placed
6.043034701,2,Tier 2,Canada,100-300,3,66.29402672,69.56392245,AI/ML,Finance,3.385545425,Not Placed
7.650020658,1,Tier 1,USA,100-300,2,100,66.27279983,Data Science,Manufacturing,3.487942941,Placed
8.084992023,0,Tier 3,UK,100-300,1,64.87974088,84.70728075,Cloud,Healthcare,5.506788787,Placed
6.942391903,1,Tier 3,Germany,100-300,2,71.80225934,61.09266636,AI/ML,Manufacturing,5.817461193,Not Placed
7.802826318,0,Tier 3,India,300+,0,79.66985665,59.45113778,Core CS,Other,6.154024664,Placed
7.28930882,0,Tier 2,India,100-300,2,63.79031054,47.41884867,Cloud,Other,3.382561703,Placed
6.483904196,0,Tier 1,India,300+,1,37.29158918,53.52880957,Data Science,Finance,6.695004837,Not Placed
7.289116484,3,Tier 1,Germany,300+,2,91.21158374,46.55382472,Core CS,Consulting,4.255311429,Placed
8.230429253,0,Tier 1,USA,300+,3,67.78964579,63.08546058,Cloud,Manufacturing,5.553784828,Placed
6.971339169,1,Tier 1,USA,100-300,3,65.18645068,76.38156556,Core CS,Consulting,4.027620399,Placed
8.251714925,1,Tier 3,USA,300+,1,68.26994364,49.5077076,Cybersecurity,Tech,3.600965684,Placed
4.904203917,2,Tier 3,India,100-300,1,83.08930737,89.66715763,Cybersecurity,Healthcare,2.480490184,Not Placed
7.657522004,1,Tier 3,UK,300+,0,76.3817045,89.24038465,Data Science,Finance,6.263580544,Placed
7.069637655,1,Tier 3,Canada,300+,2,52.80804148,84.31724977,Cloud,Manufacturing,5.004924314,Not Placed
6.76079412,1,Tier 2,India,300+,1,70.06129997,57.03724895,AI/ML,Consulting,3.278180889,Not Placed
7.073408621,0,Tier 3,Germany,100-300,0,70.08102218,47.57817308,Core CS,Other,4.090864948,Placed
5.409944868,3,Tier 3,USA,Top 100,2,58.06825711,64.98401668,AI/ML,Finance,6.657852011,Placed
6.82426249,0,Tier 2,Canada,300+,2,51.83368833,84.49519232,Data Science,Manufacturing,6.269912821,Placed
7.285690057,0,Tier 1,USA,Top 100,3,56.31676401,90.0341325,Core CS,Consulting,6.006305183,Placed
8.182315236,1,Tier 1,USA,Top 100,0,61.96962207,84.63808776,Cloud,Tech,8.51995225,Placed
6.585383825,0,Tier 2,USA,300+,1,56.85588622,93.92340347,Cloud,Consulting,7.129919004,Placed
6.353205118,1,Tier 2,UK,100-300,2,80.69108022,81.80780329,AI/ML,Other,4.860143367,Placed
6.598594365,2,Tier 3,Canada,300+,0,93.62962904,53.79360939,AI/ML,Tech,4.065425041,Placed
7.732321694,1,Tier 2,India,100-300,3,72.37882067,87.12744978,Data Science,Consulting,9.097383012,Placed
7.263000888,2,Tier 2,UK,300+,2,66.08895912,47.26843434,Data Science,Consulting,6.887604571,Placed
6.576191837,1,Tier 1,Germany,100-300,1,52.05514958,84.43856205,Core CS,Healthcare,4.055290563,Not Placed
7.410613946,2,Tier 2,Germany,300+,2,60.76666704,58.06480735,Cybersecurity,Finance,3.126186874,Not Placed
7.077662039,0,Tier 2,India,300+,0,77.18365693,69.84577234,Cloud,Tech,1.653403957,Not Placed
7.774915992,2,Tier 3,Canada,300+,3,86.7782591,50.03894862,Core CS,Finance,3.31313338,Placed
6.438357525,1,Tier 2,India,Top 100,2,55.67692554,70.0907902,Cybersecurity,Other,4.109703274,Placed
6.737870283,1,Tier 3,UK,300+,4,86.39397163,79.3302227,Cloud,Healthcare,6.929868483,Placed
6.686313477,0,Tier 2,Canada,300+,3,57.29316077,70.33486719,AI/ML,Consulting,6.390393257,Placed
5.829188041,3,Tier 2,Germany,100-300,1,84.08207709,74.6944014,Core CS,Tech,5.05144038,Placed
7.236896222,2,Tier 3,Canada,100-300,1,53.97031211,73.43507183,Data Science,Other,5.994124089,Placed
7.208844218,2,Tier 3,Canada,300+,1,80.23811697,63.88990833,Data Science,Healthcare,3.890712105,Placed
7.004090765,2,Tier 1,Canada,100-300,0,59.56023593,69.09528257,Core CS,Healthcare,3.039771516,Not Placed
6.812330293,3,Tier 3,India,100-300,0,100,47.45222693,Cloud,Tech,4.596926906,Not Placed
5.867703406,1,Tier 1,USA,Top 100,3,74.60307541,77.2733056,AI/ML,Other,6.141682725,Placed
6.663483742,0,Tier 2,UK,Top 100,0,53.14366229,68.64753603,Core CS,Consulting,4.967036148,Not Placed
6.725828387,1,Tier 1,Canada,300+,0,69.20461174,59.42483249,Cybersecurity,Tech,5.981661269,Placed
6.358178185,3,Tier 2,Canada,300+,2,76.1194771,49.18451585,AI/ML,Other,4.862543511,Not Placed
6.870971431,0,Tier 2,India,300+,0,66.38853143,62.04392674,Data Science,Manufacturing,3.014273529,Not Placed
7.323240685,2,Tier 2,UK,100-300,1,73.32080014,42.5150154,AI/ML,Healthcare,5.52877471,Placed
8.508948721,2,Tier 2,UK,100-300,3,51.76507956,62.73903607,Cloud,Manufacturing,4.876423499,Placed
7.13966225,1,Tier 2,Germany,300+,1,66.94318202,80.73728661,Cloud,Finance,6.668655959,Placed
7.206040313,0,Tier 1,UK,100-300,2,46.67115876,70.49461062,AI/ML,Other,2.690957391,Placed
6.940443267,3,Tier 3,UK,300+,4,65.95549118,48.53284832,Data Science,Healthcare,7.280589067,Placed
5.464983028,6,Tier 2,Canada,300+,3,100,71.03531288,AI/ML,Other,2.690709345,Not Placed
6.9787889,2,Tier 2,USA,Top 100,0,73.52217928,64.94508067,Data Science,Other,4.568958112,Placed
7.048184168,1,Tier 3,Canada,300+,3,52.83950207,62.50215407,Core CS,Consulting,2.78773686,Not Placed
8.97059369,1,Tier 1,India,Top 100,3,64.81286832,54.10635005,Cloud,Healthcare,7.112879879,Placed
6.846111228,2,Tier 2,UK,300+,1,63.10326267,59.54651636,AI/ML,Manufacturing,3.28209399,Not Placed
7.241237874,1,Tier 2,USA,100-300,1,96.17442487,60.99409872,AI/ML,Consulting,4.256412122,Placed
6.972230584,2,Tier 1,Canada,300+,2,53.6151223,61.26354616,Data Science,Healthcare,6.550078862,Placed
6.06505757,2,Tier 2,Germany,Top 100,1,64.36802042,66.91541866,Cybersecurity,Other,3.956209796,Not Placed
7.914258252,1,Tier 3,India,100-300,1,54.10945411,92.68922655,Data Science,Tech,5.157898794,Placed
7.601546426,2,Tier 1,India,Top 100,1,88.96795361,83.674424,Cybersecurity,Finance,6.056811159,Placed
7.632825558,0,Tier 2,India,300+,1,42.93417856,67.25464972,AI/ML,Manufacturing,5.717980836,Not Placed
6.272490036,0,Tier 2,Canada,Top 100,0,54.94310568,77.7853203,Cloud,Healthcare,5.102689697,Placed
8.122235449,0,Tier 2,USA,Top 100,1,73.33160766,56.39063315,Core CS,Other,4.460345285,Placed
5.87851915,2,Tier 3,USA,100-300,3,87.85037323,47.22893002,Cloud,Manufacturing,4.073713282,Placed
7.469485675,1,Tier 3,UK,300+,0,85.2252874,93.15650877,Cloud,Finance,5.79382844,Placed
8.752364501,0,Tier 2,USA,300+,1,83.17612227,63.51708546,Core CS,Manufacturing,5.09631926,Placed
6.20757094,0,Tier 3,Germany,100-300,1,73.76816181,74.82097609,AI/ML,Tech,5.14462859,Placed
6.546961816,1,Tier 3,India,100-300,1,71.75683292,64.24365056,Data Science,Finance,1.983582637,Not Placed
7.079721092,2,Tier 2,Canada,100-300,4,89.37120705,79.73304522,Cloud,Tech,4.982938528,Placed
6.597219477,0,Tier 3,India,100-300,0,89.81661572,99.40301183,Data Science,Consulting,5.679172593,Placed
5.759469255,2,Tier 3,India,300+,1,64.58062154,54.84102095,Cloud,Other,5.622104871,Not Placed
7.05485038,2,Tier 1,Germany,300+,1,65.02354232,74.52173381,AI/ML,Tech,4.701627072,Not Placed
6.150157029,1,Tier 2,India,100-300,1,49.45701627,59.4183146,Data Science,Manufacturing,5.223808046,Not Placed
7.378873945,0,Tier 3,India,Top 100,2,73.5525391,65.09075153,Core CS,Manufacturing,4.208016003,Placed
6.264460613,1,Tier 2,Germany,Top 100,1,73.96600899,47.46578757,AI/ML,Finance,6.900217383,Placed
8.239947524,0,Tier 3,Germany,100-300,5,51.89728396,62.04755372,Core CS,Consulting,4.860859638,Placed
6.373397366,0,Tier 2,USA,Top 100,3,77.94269195,57.47813701,Cloud,Tech,6.724905549,Placed
6.742350787,2,Tier 2,India,100-300,1,54.67692069,83.35676705,Cloud,Manufacturing,4.757658313,Placed
7.650813774,0,Tier 1,UK,300+,2,67.02082584,57.43669819,Core CS,Manufacturing,3.450523454,Not Placed
6.015308547,3,Tier 2,UK,Top 100,4,86.62765898,64.483386,Cloud,Healthcare,4.354507835,Not Placed
7.181967948,2,Tier 2,UK,100-300,2,90.0446722,80.5595148,Cloud,Healthcare,3.558239843,Placed
8.045714203,0,Tier 3,Germany,300+,1,54.1265098,77.19074635,Core CS,Finance,4.903513187,Placed
5.714013412,1,Tier 2,India,Top 100,1,60.82732501,85.30692089,Data Science,Finance,3.071448399,Not Placed
7.147707087,1,Tier 1,USA,300+,5,84.22173655,79.73643842,Data Science,Healthcare,4.702071,Placed
7.207906235,1,Tier 2,India,100-300,3,78.6878249,71.59412207,AI/ML,Manufacturing,6.537837972,Placed
7.625458297,2,Tier 2,UK,100-300,1,80.1464912,63.59200787,Core CS,Consulting,7.334968538,Placed
6.010439431,1,Tier 3,Canada,Top 100,3,30,62.12447445,AI/ML,Consulting,3.781782327,Placed
5.94363471,2,Tier 3,UK,100-300,2,52.45867916,65.70112948,Cybersecurity,Other,5.769595485,Not Placed
7.417553252,2,Tier 2,Germany,100-300,1,77.82429811,51.20882782,Cloud,Finance,7.404460431,Placed
7.237587739,0,Tier 1,India,300+,1,92.80793847,59.16685803,Core CS,Finance,3.325928131,Placed
7.20039428,2,Tier 1,Germany,100-300,1,60.69495095,70.6528815,Cybersecurity,Other,2.490867997,Not Placed
7.277158568,2,Tier 1,USA,300+,0,69.77758447,42.31726137,Core CS,Healthcare,3.010150951,Not Placed
6.455980223,1,Tier 3,India,300+,2,53.26423142,39.15171933,Core CS,Healthcare,4.76528021,Not Placed
7.185802958,2,Tier 1,India,Top 100,1,93.60853909,33.265449,Cloud,Consulting,1.792997518,Placed
7.234457979,3,Tier 2,India,300+,3,54.22866567,44.64924275,Core CS,Tech,6.791952203,Placed
6.428518866,0,Tier 2,Canada,Top 100,3,83.03479885,60.33361553,Cybersecurity,Manufacturing,1.478011999,Placed
8.492619609,1,Tier 3,India,100-300,0,55.15058701,62.63307927,Cybersecurity,Tech,5.433393062,Placed
7.379066337,0,Tier 3,Canada,300+,2,34.75829329,50.93927213,Data Science,Manufacturing,5.594512925,Placed
6.046957202,3,Tier 3,India,300+,4,75.57968073,51.31039791,Cloud,Consulting,5.751759746,Not Placed
7.525242887,2,Tier 3,UK,100-300,2,68.58660589,48.48683777,Core CS,Tech,6.851374385,Placed
6.220254664,4,Tier 3,USA,100-300,2,78.81896221,68.33876851,AI/ML,Finance,7.22724802,Placed
7.629667683,0,Tier 3,India,100-300,3,73.03829995,60.25019164,AI/ML,Finance,5.77780409,Placed
7.926876463,0,Tier 3,Germany,100-300,2,54.40912752,67.36439797,Cloud,Consulting,4.387359681,Placed
6.343454145,0,Tier 3,UK,300+,1,66.01086598,59.88099052,Core CS,Consulting,5.085885019,Not Placed
7.770700903,0,Tier 2,Germany,300+,1,87.1731805,58.26607235,Cloud,Tech,5.826287471,Placed
7.330224742,1,Tier 2,Germany,300+,1,81.19320979,66.95657213,Cloud,Finance,5.459974187,Placed
7.657648128,1,Tier 2,Canada,300+,3,78.40048579,69.17032976,Data Science,Finance,4.480956637,Placed
8.517434386,0,Tier 2,USA,100-300,5,100,83.35600369,Data Science,Other,7.267166698,Placed
6.803689507,2,Tier 3,Germany,100-300,0,78.45586251,74.49684786,AI/ML,Tech,4.358345407,Placed
6.397011069,2,Tier 3,UK,100-300,2,84.37559369,89.21010169,AI/ML,Other,4.640670446,Placed
6.288388456,3,Tier 2,USA,Top 100,1,47.06416169,52.97006021,Cybersecurity,Finance,3.525500736,Not Placed
6.347351772,1,Tier 2,UK,100-300,5,84.84482249,49.25365606,Cybersecurity,Tech,6.195360059,Placed
6.938318632,2,Tier 3,Germany,100-300,0,75.54560315,57.50502674,Data Science,Tech,8.273312207,Placed
7.27292158,3,Tier 1,USA,100-300,2,80.90946042,75.52032175,Cybersecurity,Consulting,6.882579532,Placed
7.221352639,0,Tier 1,India,300+,1,73.36046772,55.35406352,Cloud,Healthcare,3.456111205,Placed
7.661746599,1,Tier 3,Germany,Top 100,1,82.64914335,82.34533617,Cybersecurity,Consulting,3.986454155,Placed
7.010401514,0,Tier 1,Germany,100-300,2,73.75631114,46.72039772,Cybersecurity,Tech,2.661802722,Placed
8.162827262,0,Tier 2,Canada,300+,1,72.92986466,48.24627007,Cloud,Tech,5.80669047,Placed
6.788274533,1,Tier 1,UK,Top 100,1,96.7571289,65.99757804,Data Science,Other,5.658501212,Placed
9.176135333,0,Tier 1,India,300+,2,75.18042578,94.25046992,AI/ML,Finance,4.640184177,Placed
7.500533878,2,Tier 2,USA,100-300,1,94.73337245,73.39129004,Data Science,Finance,4.320595445,Placed
6.314273955,3,Tier 2,Germany,300+,0,78.57590223,74.16963705,AI/ML,Consulting,1.940570033,Not Placed
6.143286002,2,Tier 2,Germany,Top 100,1,91.31641323,51.86580421,Cloud,Consulting,4.574510209,Not Placed
7.385977932,3,Tier 1,India,300+,1,71.62408176,59.37575516,Data Science,Healthcare,4.070961247,Not Placed
6.821229772,3,Tier 3,Germany,100-300,0,61.39015766,70.45030952,AI/ML,Manufacturing,3.915131809,Not Placed
7.571200395,0,Tier 2,UK,Top 100,0,61.67467024,38.86789548,Core CS,Healthcare,8.604471742,Placed
7.3785901,2,Tier 2,USA,300+,2,65.99009008,61.27785163,Data Science,Tech,6.115005268,Not Placed
6.94173687,0,Tier 1,India,300+,3,39.87243059,85.7085793,Cybersecurity,Consulting,4.939906497,Placed
6.322565026,2,Tier 2,India,100-300,1,56.5000224,83.37836167,AI/ML,Consulting,5.13246935,Not Placed
5.78812222,2,Tier 2,Canada,100-300,0,85.90806815,97.25771365,Core CS,Healthcare,3.880821902,Placed
6.642788038,1,Tier 2,USA,300+,0,83.68057673,60.39146931,AI/ML,Healthcare,6.34616368,Not Placed
7.685119035,0,Tier 3,India,300+,1,75.72736936,43.43645176,Data Science,Finance,4.795511945,Placed
7.171274995,2,Tier 3,Germany,300+,0,99.89500618,59.1290404,Core CS,Other,3.422589694,Not Placed
6.003408977,0,Tier 2,USA,100-300,1,60.02411565,67.13573086,Cybersecurity,Healthcare,7.14707895,Placed
7.138544741,1,Tier 1,UK,Top 100,0,77.07588937,77.79837383,Core CS,Tech,3.860916547,Placed
7.308253904,0,Tier 2,India,100-300,0,80.93827037,68.23712846,AI/ML,Finance,8.169935859,Placed
6.292914051,1,Tier 1,UK,Top 100,5,66.61949277,72.23278526,Core CS,Other,6.148925884,Placed
7.122980085,3,Tier 3,India,100-300,3,63.51345939,59.35423721,AI/ML,Finance,6.056660146,Placed
7.046566975,2,Tier 2,Germany,100-300,0,69.28787862,60.06583213,Cloud,Finance,3.572949297,Not Placed
6.085623762,0,Tier 3,Canada,100-300,3,63.41768412,54.17700339,AI/ML,Healthcare,6.931614286,Placed
7.286229888,1,Tier 3,Germany,100-300,0,100,45.52032489,Cybersecurity,Manufacturing,8.67297788,Placed
7.448627621,1,Tier 2,UK,100-300,3,68.55214282,58.17927112,AI/ML,Manufacturing,3.613474505,Placed
7.866440995,1,Tier 2,USA,100-300,1,77.87920718,70.61421345,Data Science,Consulting,5.13741074,Placed
7.843041642,2,Tier 2,UK,100-300,1,64.41599482,73.88707049,Data Science,Other,3.907737272,Not Placed
5.897864506,2,Tier 1,Canada,100-300,1,99.4872481,70.67484302,Cybersecurity,Consulting,4.152394887,Placed
6.249739968,0,Tier 3,India,100-300,0,70.65575349,67.84471546,Cybersecurity,Consulting,4.518871286,Not Placed
7.412028214,1,Tier 2,India,300+,0,50.89301318,58.74030169,Cloud,Other,7.066268125,Not Placed
7.411028761,0,Tier 1,UK,100-300,2,57.38179649,87.63841263,Data Science,Tech,2.987059337,Placed
7.412038149,0,Tier 3,USA,300+,1,83.54304747,67.48848372,Data Science,Manufacturing,6.203146835,Placed
10,1,Tier 1,India,100-300,0,72.87911277,62.21719535,Core CS,Other,7.038852333,Placed
7.456712409,1,Tier 1,India,100-300,4,84.73574894,76.44670816,Data Science,Consulting,3.762179851,Placed
7.908452512,1,Tier 2,Canada,300+,0,86.10297423,88.15292204,Data Science,Healthcare,5.308411092,Placed
7.763201411,3,Tier 2,Canada,300+,0,66.46714215,77.72411764,Core CS,Healthcare,4.368635336,Not Placed
7.521113001,1,Tier 2,USA,100-300,4,69.95635583,77.23159819,Cloud,Tech,5.339706428,Placed
6.747784604,1,Tier 2,India,100-300,3,65.02880367,60.31602574,Cybersecurity,Manufacturing,7.699035515,Placed
7.607175376,1,Tier 1,Germany,100-300,0,77.27191953,89.75479041,Cloud,Finance,3.873963514,Placed
6.381739828,0,Tier 2,UK,100-300,1,49.20668801,85.94579662,Cybersecurity,Finance,5.260098567,Placed
6.810545115,3,Tier 2,India,100-300,1,68.24570502,67.37874498,Cybersecurity,Manufacturing,3.562223585,Not Placed
6.611709162,1,Tier 3,UK,300+,1,63.94708786,65.43212106,Core CS,Finance,5.972455877,Not Placed
7.065499312,0,Tier 1,India,300+,3,72.09677505,76.70594776,Cybersecurity,Manufacturing,5.50201776,Not Placed
8.851726853,0,Tier 1,Canada,300+,0,65.47033196,66.09821171,AI/ML,Healthcare,6.448243554,Placed
5.506187846,2,Tier 3,USA,100-300,2,77.12189333,94.23562718,AI/ML,Tech,3.759994322,Placed
7.549008152,0,Tier 3,Germany,100-300,4,88.85558465,86.04273811,AI/ML,Healthcare,3.453095278,Placed
5.709827303,1,Tier 3,Canada,100-300,1,91.09264,58.77203761,AI/ML,Consulting,2.229049295,Not Placed
6.622454507,0,Tier 1,USA,300+,2,65.51612197,62.29327811,Core CS,Consulting,4.900875233,Placed
7.871160478,1,Tier 2,Canada,100-300,0,86.23042012,47.76835892,Core CS,Other,6.067040727,Placed
7.051424015,2,Tier 2,UK,100-300,1,35.09816236,89.60233283,AI/ML,Tech,5.608155521,Not Placed
6.137804178,0,Tier 3,India,100-300,1,78.8867909,75.46894917,Data Science,Tech,5.845411381,Placed
6.427757033,1,Tier 1,Canada,300+,2,50.41602621,43.60029847,Cybersecurity,Tech,4.019920715,Not Placed
7.543678199,1,Tier 1,USA,300+,1,86.07887466,58.27845932,Cloud,Healthcare,5.019793064,Placed
6.415706695,2,Tier 2,India,300+,1,89.40245874,43.79816806,AI/ML,Tech,1.306053364,Not Placed
7.173166872,1,Tier 1,UK,300+,0,80.73768767,68.46410134,AI/ML,Healthcare,4.847206047,Placed
7.036457472,1,Tier 2,UK,300+,2,65.35672974,57.80644885,Data Science,Other,7.622015715,Placed
6.478719722,2,Tier 3,Germany,100-300,0,55.7142923,60.05645149,Core CS,Other,5.122100604,Not Placed
8.715155271,0,Tier 3,India,300+,0,71.0185961,85.41720055,Data Science,Consulting,8.517215846,Placed
7.507135218,1,Tier 2,UK,100-300,0,67.75856592,69.40843974,AI/ML,Finance,5.804438849,Placed
5.379885931,1,Tier 3,Canada,100-300,2,70.82520413,69.10405884,Data Science,Finance,6.011108653,Placed
7.149163452,0,Tier 1,UK,300+,2,73.54973578,59.76079171,Cybersecurity,Healthcare,6.11334094,Placed
6.470570828,0,Tier 1,UK,100-300,4,87.4938611,64.62012241,Cloud,Consulting,6.091580221,Placed
7.681946668,2,Tier 2,UK,Top 100,3,59.6842456,72.98803698,Data Science,Other,5.69645853,Placed
6.365983409,4,Tier 1,Germany,300+,2,52.92496054,88.73773182,AI/ML,Manufacturing,6.089043099,Not Placed
6.908210847,0,Tier 1,USA,Top 100,0,70.38190964,68.15956008,Cybersecurity,Manufacturing,4.210485711,Placed
7.403989823,2,Tier 2,UK,Top 100,1,69.26338436,58.24740666,Cybersecurity,Other,7.133041694,Placed
7.692604155,2,Tier 3,USA,300+,2,72.54291952,69.32793966,Data Science,Other,7.545829954,Placed
6.039762874,0,Tier 3,India,100-300,2,75.15223113,66.72314408,AI/ML,Manufacturing,5.304287998,Placed
6.732399011,0,Tier 2,USA,100-300,1,71.01204764,100,Cloud,Consulting,4.379761741,Placed
6.620043751,1,Tier 1,India,Top 100,1,58.33628696,61.79660757,Data Science,Consulting,3.076518501,Placed
